Token,Cosine
people_A30308_12_token,0.21539762040549956
people_A05022_13_token,0.2141603687457973
people_A25327_5_token,0.21309570377659137
people_A12495_10_token,0.2118253810771249
people_A29391_15_token,0.21149839472495843
##ize_A21035_17_token,0.21041189640911703
people_A13010_4_token,0.21003385541918362
people_A29022_7_token,0.2087007632875503
people_A21035_4_token,0.20859291715193243
people_A20375_2_token,0.20811800312834927
people_A15005_1_cls,0.2078796582459246
people_A21205_8_token,0.2078782619122228
##ded_A29022_14_token,0.2072656552871348
people_A20410_6_token,0.2065410289973009
people_A07082_11_token,0.2061250188333661
people_A18299_9_token,0.20555882766813682
individuals_A18256_9_token,0.20552925444790163
people_A21205_19_token,0.20544654011947483
people_D01027_1_cls,0.2050032796500956
take_A07082_13_token,0.20475996174224195
##able_A12328_20_token,0.20456908735830331
avoid_D02033_26_token,0.20432111716333484
hostile_A23207_15_token,0.20399411362437542
people_D01027_26_token,0.2039916340402054
people_A19421_10_token,0.20384373246625365
##ive_A13010_8_token,0.20353983800808745
hostile_A30358_13_token,0.20333239562754105
people_A27133_10_token,0.20328053621551218
##ive_A07039_5_token,0.2030168762426915
people_A23126_8_token,0.2028763140942536
people_A20375_2_cls,0.20284838945541567
people_A09083_8_token,0.2026481425449357
people_A30057_3_token,0.20258308596470775
##tation_A29241_17_token,0.20256320529068653
people_A28291_25_token,0.20241667757346093
feel_A09028_5_token,0.20204921914701118
people_A12328_21_token,0.20180878931052634
force_A12495_4_token,0.20180401225726685
##ive_A18109_12_token,0.20172831336354408
engaging_D01027_4_token,0.20170462511193293
people_A19448_14_token,0.20162023714001406
forming_D02033_27_token,0.20158648357390657
##ting_A25452_7_token,0.2011797979313369
puts_A13010_3_cls,0.20109942374588216
problematic_A20173_6_token,0.20107679896010014
prevent_A19009_2_cls,0.2010229756531206
aggression_E06077_1_token,0.20088402395717636
##ting_A29241_7_token,0.20083592332657157
people_A19137_13_token,0.20082067171024393
##ting_A25450_4_token,0.20080408372906078
people_A12316_6_token,0.20073448675833672
annoying_A12328_6_token,0.20072097248850104
people_A07006_1_cls,0.20066210106738563
##ting_A12328_4_token,0.20054902813916858
people_A02012_10_token,0.2004632937280602
people_A12439_16_token,0.20041407259071575
unwanted_A29241_14_token,0.2002200901520014
