Token,Cosine
preventing_A10003_15_token,0.22290240270970746
stop_A18259_21_token,0.21916676256752787
##ing_A21273_8_token,0.21821725964354874
people_A29148_1_cls,0.2164181729807768
people_A07049_19_token,0.21233468516888257
due_A29445_1_cls,0.21197400609226535
employ_A17002_16_token,0.2117431379766882
adopting_A25425_1_cls,0.21132660039808962
people_A05068_12_token,0.2107744574438214
dangerous_A29408_7_token,0.2101597941325088
undermine_A18065_16_token,0.209669564813644
take_A07082_13_token,0.2092330836539813
peaceful_A25408_11_token,0.20910581239185158
people_A23413_11_token,0.2089942006020643
harm_A29426_3_token,0.20868951178679743
people_A22013_8_token,0.20843358282595334
violence_A19382_10_token,0.2083501440847248
people_A12312_13_token,0.20830144504645018
##zation_A22302_34_token,0.2080508855322622
crumbling_A24039_6_token,0.20795808602675742
people_A23495_4_token,0.20792609082808627
people_A29391_15_token,0.20783408780865137
peaceful_A25103_23_token,0.20763590918371064
##ized_A30199_6_token,0.20760438652804572
hurt_A24484_25_token,0.2075986611484296
intervention_A27464_13_token,0.20754378090266676
lethal_A23413_13_token,0.20754280446356324
curb_A20289_8_token,0.2073325975805096
people_A07082_11_token,0.20731743872598007
##ization_E06017_11_token,0.20723109181782373
##ze_A24013_7_token,0.2071550111509109
##ize_A24181_5_token,0.20712067265870457
##ing_A20127_19_token,0.20689471881324348
oppressive_A25065_23_token,0.20685800702629692
deadly_A30329_18_token,0.20678796242191708
dangerous_A12006_7_token,0.20670465535866023
people_A23146_11_token,0.20664831915392515
people_A09009_10_token,0.20652380708332974
people_A09027_11_token,0.20648164451339585
##ze_A24380_7_token,0.20644109391326299
would_A19082_3_cls,0.20642454987774714
##ize_A22217_6_token,0.20639184113506695
##ized_A21500_5_token,0.20634479391923516
people_A25353_15_token,0.20633799946385195
also_A29286_3_cls,0.20629337102122988
limit_A24364_8_token,0.20616646729104654
serious_A28462_17_token,0.20605738252669675
increase_A27434_2_token,0.20602713804145592
##ize_A25241_5_token,0.2059787665521679
technologies_A27471_31_token,0.20593045360009102
harm_A12481_6_token,0.20563941928791957
take_E07006_15_token,0.20559585385785986
great_A27187_12_token,0.2054799177297898
people_A23306_7_token,0.20544248959272723
people_A29124_2_token,0.20535563270101936
increase_A30101_9_token,0.20529516924183552
people_E07078_1_cls,0.20515139803040144
people_A29133_8_token,0.20509552413956014
destroy_A27383_6_token,0.2050660748249831
safe_A22263_7_token,0.2050546113862095
people_A22200_14_token,0.20501790157084063
destroy_A21406_12_token,0.20501057875815562
using_A25050_2_token,0.2049980222000804
aggressive_A27063_15_token,0.20488086446983483
harm_A21400_16_token,0.20486313828180416
dangerous_A18123_4_token,0.20479436991345454
secure_A06017_27_token,0.20476110004375556
persecuted_A22263_19_token,0.2046297591328596
harmful_A30223_3_token,0.20459793226721654
##ize_A20342_6_token,0.20458619675017536
people_A29418_13_token,0.20453461896251762
protection_A27323_13_token,0.20451564122098662
people_A28326_23_token,0.20450730676734907
dangerous_A28182_4_token,0.20449515479423103
people_A25103_26_token,0.2044761989842745
hurt_A25412_4_token,0.2044191279266958
peaceful_A20125_11_token,0.2043907097939627
individuals_A24203_20_token,0.2043682315870163
curb_A21426_11_token,0.20434572315692823
##ize_A24219_5_token,0.20434179705598488
people_A12346_1_cls,0.20431495945820866
stabilize_A23237_17_token,0.20429127105425593
moving_A21142_10_token,0.20423682678637403
prevent_A28332_12_token,0.2042341177443624
##ize_A27399_5_token,0.20423213245251318
enforcing_A19362_11_token,0.20421469059632347
destructive_E07092_21_token,0.20420326668820302
##h_A18083_6_token,0.20415434822056094
dangerous_A30192_7_token,0.20414253387680675
deadly_A05052_8_token,0.20413534210265336
eliminating_A30289_7_token,0.20407814190040285
peaceful_A19077_8_token,0.204070248557945
provide_A12386_8_token,0.20400889489052945
stabilize_A25271_7_token,0.20391771188011332
dangerous_A20046_4_token,0.20387488465343626
prevents_A18215_9_token,0.2038724954418147
people_A07025_9_token,0.2038089934213538
provides_A21009_3_cls,0.20379783687697853
individuals_A25013_13_token,0.20379224778177593
##ized_A23008_8_token,0.20375420662736254
##power_A21252_6_token,0.20374704971303453
violence_A30270_10_token,0.20374260564823232
benefits_A29440_8_token,0.20373781694978335
stifled_A19018_18_token,0.20373053656489726
creating_A19318_15_token,0.2037281683191351
hurt_A22437_13_token,0.20370294179285076
destroy_A23101_4_token,0.2036842221146826
violence_A24262_26_token,0.20363690164344003
dangerous_A22355_5_token,0.20359623496039078
people_A30065_8_token,0.2035938298098616
##izing_A28203_2_token,0.2035727242659575
people_A29426_7_token,0.20356097986083474
dangerous_A21047_6_token,0.2035572797232595
adopt_A23305_4_token,0.20355330957103102
people_A19147_7_token,0.20354857961291017
activism_A22084_5_token,0.20352554413217236
create_A19049_8_token,0.20345257252743573
protect_A25294_24_token,0.2034403820101809
allow_A19077_7_token,0.20341159226967057
people_A25128_19_token,0.20338054454978552
cut_A23237_12_token,0.20333920668816763
people_A22444_26_token,0.20330747491301404
people_A26025_7_token,0.2032785047739837
people_A21362_15_token,0.2032545402049096
##ize_A25128_5_token,0.20323197586533162
##ual_A28077_21_token,0.20322113754360444
##d_A24181_15_token,0.20317034269953335
destroy_A23060_5_token,0.2031638492851135
suppression_A12500_6_token,0.20310900081882952
adopt_A22249_4_token,0.20305785319720607
negative_A19049_15_token,0.20304384001369907
