Token,Cosine
kill_A21274_16_token,0.2136840719582958
animals_A12275_4_token,0.21294973945981371
thrive_A12067_10_token,0.211507615354048
preserve_A24359_9_token,0.21063529602510556
##ize_A20176_5_token,0.2105640383135893
animals_A18265_15_token,0.2104242420812165
people_A22191_22_token,0.21015248174657755
##ized_A27386_12_token,0.21011528348403374
##zing_E01110_7_token,0.20991557235064423
many_A25077_1_cls,0.20960157252673253
adopting_A25425_1_cls,0.2095355553106523
exhibit_A27387_4_token,0.2094070772654018
##ized_A24060_7_token,0.2092406824165295
animals_A12067_8_token,0.208777010156207
kill_A12221_18_token,0.20864296676453473
protect_A23108_5_token,0.20853344283356606
animals_A12215_4_token,0.20800801965482205
preserve_A28024_9_token,0.20798131705762082
##s_A24014_2_cls,0.20795827719247398
wild_A28343_6_token,0.20792815543111715
##s_A26018_2_cls,0.2079229746276224
protect_A24014_7_token,0.20790869006137738
curb_E03053_17_token,0.20775309238467465
animals_A29156_16_token,0.20767220403066944
endangered_A28136_14_token,0.20731930119745667
revive_A12071_10_token,0.20721449345551188
kept_A19066_6_token,0.20713497267905903
people_A28115_8_token,0.2071107003440875
creating_A19318_15_token,0.20702202317712476
eat_A22191_26_token,0.2067713374011456
animals_A22085_5_token,0.20669966822861177
healthy_A19491_8_token,0.20668155888111317
animals_A18066_15_token,0.20661783286818514
animals_A05064_13_token,0.2063954275785757
killed_A21296_9_token,0.20620969784952708
human_A12089_29_token,0.2061154967886025
people_E07078_1_cls,0.20603752444047882
wild_A18265_14_token,0.20590276363561602
animals_A30386_2_token,0.20588775794108202
environment_A23472_14_token,0.20588509895367207
animals_A24014_9_token,0.20586614632282396
help_A23108_3_cls,0.20582338349080423
destroy_A21074_5_token,0.20575218502774664
welfare_A27387_9_token,0.2057466516322378
disrupt_A20420_17_token,0.20554559594007055
animals_A27194_11_token,0.20539570519211517
##ize_A19193_5_token,0.20522210628863716
##ized_A29237_5_token,0.20521911917786279
kept_A22207_9_token,0.20511853732754867
human_D27065_6_token,0.2050619576179036
animals_A18195_24_token,0.2049636030760916
##pping_A19245_6_token,0.20487664085718976
animals_A12038_10_token,0.2048284597008116
promote_A19491_7_token,0.20479700776306095
treat_A19008_12_token,0.20477947847435782
killing_D27060_5_token,0.20475301945746868
animals_A21234_8_token,0.20474478693524167
suffering_A20420_25_token,0.20470941418362384
human_A24353_5_token,0.20469082420547555
allowing_A20216_9_token,0.20465369577234
##s_A23108_2_cls,0.20451728779245432
animals_A19066_1_token,0.20444897154459746
animals_A19245_7_token,0.2044327034049005
##ze_A12132_7_token,0.20441015867375859
##ing_A24280_18_token,0.2043386677174225
environment_A03008_22_token,0.20431959494327614
protect_A23435_9_token,0.20426288933283748
animals_A25077_2_token,0.20423809843415067
wild_A29417_15_token,0.20418775871272085
animals_A22319_12_token,0.20418058462305522
species_A28136_15_token,0.20413545302497374
changes_E07078_12_token,0.20410511518485105
humans_A05071_11_token,0.20398064397531843
destructive_A12025_4_token,0.2039331994017803
unnecessary_A27157_17_token,0.20392998777397964
human_A27157_19_token,0.20387876815514008
##ized_A21305_20_token,0.2038752667384455
harmful_A20192_4_token,0.2037706337766969
animals_A25273_4_token,0.20375313651430094
suffer_D27064_6_token,0.2037027503342876
help_A21234_15_token,0.20366449443480142
allowing_A24465_13_token,0.20363057301624618
extinct_A25077_5_token,0.2035657802871343
cruel_A18265_11_token,0.20350570684569388
goes_A24145_4_cls,0.2034904168909984
suffering_A29226_7_token,0.2034179843981317
animals_A29478_1_token,0.203373310509363
animals_A12221_21_token,0.20331047036300032
##ing_A27157_10_token,0.20326234196709275
##ze_A15015_7_token,0.2032258257347717
animals_A28477_15_token,0.2031671087981377
animals_A25012_6_token,0.20315894727107825
protecting_A24465_7_token,0.20315846613071026
kills_A18118_2_token,0.20314028805913
##nting_A25467_13_token,0.2031222029017275
existence_A27157_20_token,0.20312076333238713
saving_A22044_7_token,0.20311417571484278
killing_A05073_8_token,0.20310480235619707
allow_A19440_3_cls,0.20294250031941932
people_E01055_18_token,0.2029418740396773
abolished_A28050_28_token,0.20293114502113102
stabilize_E05107_67_token,0.20292107062255985
